,Subgroup,N,AI,AIxITorg
0,Large (firm_size>=3),2753,-0.026 (0.026),+0.066* (0.027)
1,SME (firm_size<=2),9450,-0.024* (0.012),+0.050** (0.016)
2,Information (industry=8),785,-0.084* (0.040),+0.016 (0.054)
3,Manufacturing (industry=2),2769,-0.070** (0.023),+0.103*** (0.030)
4,Other (industry=16),260,-0.071 (0.090),+0.126 (0.153)
5,"Services (industry=11,12,13,14,15)",3118,+0.032 (0.022),+0.015 (0.031)
6,"Services - 전문,과학 및 기술서비스업 (industry=11)",705,+0.065 (0.044),-0.026 (0.054)
7,"Services - 사업시설관리, 사업지원 및 서비스업 (industry=12)",1197,+0.092* (0.042),-0.013 (0.056)
8,Services - 교육 서비스업 (industry=13),231,-0.088 (0.122),-0.058 (0.135)
9,Services - 보건업 및 사회복지서비스업 (industry=14),635,+0.011 (0.043),+0.103+ (0.059)
10,"Services - 예술, 스포츠 및 여가관련 서비스업 (industry=15)",350,+0.089 (0.062),-0.001 (0.081)
